Entity Name,Entity ID,Entity Type,County Name,City,State,Zip,Estimated Population,Class Data,Fiscal Year End,Paper Report Due Date,Electronic Report Due Date
Los Banos,1365,CIT,Merced,Los Banos,CA,93635,46168,General Law,630,131,131
Los Gatos,1366,CIT,Santa Clara,Los Gatos,CA,95031,33193,General Law,630,131,131
Loyalton,1367,CIT,Sierra,Loyalton,CA,96118,737,General Law,630,131,131
Lynwood,1368,CIT,Los Angeles,Lynwood,CA,90262,67260,General Law,630,131,131
Madera,1369,CIT,Madera,Madera,CA,93637,66299,General Law,630,131,131
Malibu,1370,CIT,Los Angeles,Malibu,CA,90265,10739,General Law,630,131,131
Mammoth Lakes,1371,CIT,Mono,Mammoth Lakes,CA,93546,7324,General Law,630,131,131
Manhattan Beach,1372,CIT,Los Angeles,Manhattan Beach,CA,90266-1040,35357,General Law,630,131,131
Manteca,1373,CIT,San Joaquin,Manteca,CA,95337,84995,General Law,630,131,131
Maricopa,1374,CIT,Kern,Maricopa,CA,93252,1028,General Law,630,131,131
Marina,1375,CIT,Monterey,Marina,CA,93933,21271,Chartered,630,131,131
Martinez,1376,CIT,Contra Costa,Martinez,CA,94553,37195,General Law,630,131,131
Marysville,1377,CIT,Yuba,Marysville,CA,95901,13003,Chartered,630,131,131
Maywood,1378,CIT,Los Angeles,Maywood,CA,90270,25033,General Law,630,131,131
McFarland,1379,CIT,Kern,McFarland,CA,93250,14034,General Law,630,131,131
Mendota,1380,CIT,Fresno,Mendota,CA,93640,12499,General Law,630,131,131
Menifee,10255,CIT,Riverside,Menifee,CA,92586,103617,General Law,630,131,131
Menlo Park,1381,CIT,San Mateo,Menlo Park,CA,94025,33509,General Law,630,131,131
Merced,1382,CIT,Merced,Merced,CA,95340,88200,Chartered,630,131,131
Mill Valley,1383,CIT,Marin,Mill Valley,CA,94941,14002,General Law,630,131,131
Millbrae,1384,CIT,San Mateo,Millbrae,CA,94030,22807,General Law,630,131,131
Milpitas,1385,CIT,Santa Clara,Milpitas,CA,95035,80287,General Law,630,131,131
Mission Viejo,1386,CIT,Orange,Mission Viejo,CA,92691,93171,General Law,630,131,131
Modesto,1387,CIT,Stanislaus,Modesto,CA,95353,218745,Chartered,630,131,131
Monrovia,1388,CIT,Los Angeles,Monrovia,CA,91016,37809,General Law,630,131,131
Montague,1389,CIT,Siskiyou,Montague,CA,96064,1232,General Law,630,131,131
Montclair,1390,CIT,San Bernardino,Montclair,CA,91763,38052,General Law,630,131,131
Monte Sereno,1391,CIT,Santa Clara,Monte Sereno,CA,95030,3458,General Law,630,131,131
Montebello,1392,CIT,Los Angeles,Montebello,CA,90640,62180,General Law,630,131,131
Monterey,1393,CIT,Monterey,Monterey,CA,93940,28347,Chartered,630,131,131
Monterey Park,1394,CIT,Los Angeles,Monterey Park,CA,91754,60814,General Law,630,131,131
Moorpark,1395,CIT,Ventura,Moorpark,CA,93021,35821,General Law,630,131,131
Moraga,1396,CIT,Contra Costa,Moraga,CA,94556,17206,General Law,630,131,131
Moreno Valley,1397,CIT,Riverside,Moreno Valley,CA,92553,209603,General Law,630,131,131
Morgan Hill,1398,CIT,Santa Clara,Morgan Hill,CA,95037,46626,General Law,630,131,131
Morro Bay,1399,CIT,San Luis Obispo,Morro Bay,CA,93442,10638,General Law,630,131,131
Mountain View,1400,CIT,Santa Clara,Mountain View,CA,94039-7540,3247,Chartered,630,131,131
Mt. Shasta,1401,CIT,Siskiyou,Mt. Shasta,CA,96067,83128,General Law,630,131,131
Murrieta,1402,CIT,Riverside,Murrieta,CA,92562,111671,General Law,630,131,131
Napa,1403,CIT,Napa,Napa,CA,94559,78246,Chartered,630,131,131
National City,1404,CIT,San Diego,National City,CA,91950,61755,General Law,630,131,131
Needles,1405,CIT,San Bernardino,Needles,CA,92363,4915,Chartered,630,131,131
Nevada City,1406,CIT,Nevada,Nevada City,CA,95959,3386,General Law,630,131,131
Newark,1407,CIT,Alameda,Newark,CA,94560,47157,General Law,630,131,131
Newman,1408,CIT,Stanislaus,Newman,CA,95360,12326,General Law,630,131,131
Newport Beach,1409,CIT,Orange,Newport Beach,CA,92660,84459,Chartered,630,131,131
Norco,1410,CIT,Riverside,Norco,CA,92860-1903,24563,Chartered,630,131,131
Norwalk,1411,CIT,Los Angeles,Norwalk,CA,90650,102356,General Law,630,131,131
Novato,1412,CIT,Marin,Novato,CA,94945-5054,53008,General Law,630,131,131
Oakdale,1413,CIT,Stanislaus,Oakdale,CA,95361,23110,General Law,630,131,131
Oakland,1414,CIT,Alameda,Oakland,CA,94612,430100,Chartered,630,131,131
Oakley,1415,CIT,Contra Costa,Oakley,CA,94561,43627,General Law,630,131,131
Oceanside,1416,CIT,San Diego,Oceanside,CA,92054,173932,Chartered,630,131,131
Ojai,1417,CIT,Ventura,Ojai,CA,93023,7523,General Law,630,131,131
Ontario,1418,CIT,San Bernardino,Ontario,CA,91764,176689,General Law,630,131,131
Orange,1419,CIT,Orange,Orange,CA,92866-1591,137534,General Law,630,131,131
Orange Cove,1420,CIT,Fresno,Orange Cove,CA,93646,9553,General Law,630,131,131
Orinda,1421,CIT,Contra Costa,Orinda,CA,94563,19496,General Law,630,131,131
Orland,1422,CIT,Glenn,Orland,CA,95963,8319,General Law,630,131,131
Oroville,1423,CIT,Butte,Oroville,CA,95965,20119,Chartered,630,131,131
Oxnard,1424,CIT,Ventura,Oxnard,CA,93030,200480,General Law,630,131,131
Pacific Grove,1425,CIT,Monterey,Pacific Grove,CA,93950,14942,Chartered,630,131,131
Pacifica,1426,CIT,San Mateo,Pacifica,CA,94044,38088,General Law,630,131,131
Palm Desert,1427,CIT,Riverside,Palm Desert,CA,92260,50976,Chartered,630,131,131
Palm Springs,1428,CIT,Riverside,Palm Springs,CA,92263-2743,44570,Chartered,630,131,131
Palmdale,1429,CIT,Los Angeles,Palmdale,CA,93550,168895,Chartered,630,131,131
Palo Alto,1430,CIT,Santa Clara,Palo Alto,CA,94303,67422,Chartered,630,131,131
Palos Verdes Estates,1431,CIT,Los Angeles,Palos Verdes Estates,CA,90274,13116,General Law,630,131,131
Paradise,1432,CIT,Butte,Paradise,CA,95969,6137,General Law,630,131,131
Paramount,1433,CIT,Los Angeles,Paramount,CA,90723,53009,General Law,630,131,131
Parlier,1434,CIT,Fresno,Parlier,CA,93648,14553,General Law,630,131,131
Pasadena,1435,CIT,Los Angeles,Pasadena,CA,91109-7215,139029,Chartered,630,131,131
Patterson,1436,CIT,Stanislaus,Patterson,CA,95363,23839,General Law,630,131,131
Perris,1437,CIT,Riverside,Perris,CA,92570,79327,General Law,630,131,131
Petaluma,1438,CIT,Sonoma,Petaluma,CA,94952,59756,Chartered,630,131,131
Pico Rivera,1439,CIT,Los Angeles,Pico Rivera,CA,90660,61827,General Law,630,131,131
Piedmont,1440,CIT,Alameda,Piedmont,CA,94611,11138,Chartered,630,131,131
Pinole,1441,CIT,Contra Costa,Pinole,CA,94564,18819,General Law,630,131,131
Pismo Beach,1442,CIT,San Luis Obispo,Pismo Beach,CA,93449-2056,8095,General Law,630,131,131
Pittsburg,1443,CIT,Contra Costa,Pittsburg,CA,94565,75788,General Law,630,131,131
Placentia,1444,CIT,Orange,Placentia,CA,92870,51522,Chartered,630,131,131
Placerville,1445,CIT,El Dorado,Placerville,CA,95667,10636,General Law,630,131,131
Pleasant Hill,1446,CIT,Contra Costa,Pleasant Hill,CA,94523,34335,General Law,630,131,131
Pleasanton,1447,CIT,Alameda,Pleasanton,CA,94566,78924,General Law,630,131,131
Plymouth,1448,CIT,Amador,Plymouth,CA,95669,1056,General Law,630,131,131
Point Arena,1449,CIT,Mendocino,Point Arena,CA,95468,446,General Law,630,131,131
Pomona,1450,CIT,Los Angeles,Pomona,CA,91769,148879,Chartered,630,131,131
Port Hueneme,1451,CIT,Ventura,Port Hueneme,CA,93041,22188,Chartered,630,131,131
Porterville,1452,CIT,Tulare,Porterville,CA,93257,62515,Chartered,630,131,131
Portola,1453,CIT,Plumas,Portola,CA,96122,2027,General Law,630,131,131
Portola Valley,1454,CIT,San Mateo,Portola Valley,CA,94028,4355,General Law,630,131,131
Poway,1455,CIT,San Diego,Poway,CA,92064,48850,General Law,630,131,131
Rancho Cordova,8975,CIT,Sacramento,Rancho Cordova,CA,95670,79536,General Law,630,131,131
Rancho Cucamonga,1456,CIT,San Bernardino,Rancho Cucamonga,CA,91730-3801,174484,General Law,630,131,131
Rancho Mirage,1457,CIT,Riverside,Rancho Mirage,CA,92270,16650,Chartered,630,131,131
Rancho Palos Verdes,1458,CIT,Los Angeles,Rancho Palos Verdes,CA,90275,41878,General Law,630,131,131
Rancho Santa Margarita,1459,CIT,Orange,Rancho Santa Margarita,CA,92688,47703,General Law,630,131,131
Red Bluff,1460,CIT,Tehama,Red Bluff,CA,96080,14698,General Law,630,131,131
Redding,1461,CIT,Shasta,Redding,CA,96001,93879,General Law,630,131,131
Redlands,1462,CIT,San Bernardino,Redlands,CA,92373,72933,General Law,630,131,131
Redondo Beach,1463,CIT,Los Angeles,Redondo Beach,CA,90277,69742,Chartered,630,131,131
Redwood City,1464,CIT,San Mateo,Redwood City,CA,94063-0391,81771,Chartered,630,131,131
Reedley,1465,CIT,Fresno,Reedley,CA,93654,24929,General Law,630,131,131
Rialto,1466,CIT,San Bernardino,Rialto,CA,92376,104050,General Law,630,131,131
Richmond,1467,CIT,Contra Costa,Richmond,CA,94804,114643,Chartered,630,131,131
Ridgecrest,1468,CIT,Kern,Ridgecrest,CA,93555-4054,28059,General Law,630,131,131
Rio Dell,1469,CIT,Humboldt,Rio Dell,CA,95562,3380,General Law,630,131,131
Rio Vista,1470,CIT,Solano,Rio Vista,CA,94591-1842,9961,General Law,630,131,131
Ripon,1471,CIT,San Joaquin,Ripon,CA,95366,16162,General Law,630,131,131
Riverbank,1472,CIT,Stanislaus,Riverbank,CA,95367-2396,24735,General Law,630,131,131
Riverside,1473,CIT,Riverside,Riverside,CA,92555,312789,Chartered,630,131,131
Rocklin,1474,CIT,Placer,Rocklin,CA,95677,71644,General Law,630,131,131
Rohnert Park,1475,CIT,Sonoma,Rohnert Park,CA,94928,44287,General Law,630,131,131
Rolling Hills,1476,CIT,Los Angeles,Rolling Hills,CA,90274,1703,General Law,630,131,131
Rolling Hills Estates,1477,CIT,Los Angeles,Rolling Hills Estates,CA,90274,8283,General Law,630,131,131
Rosemead,1478,CIT,Los Angeles,Rosemead,CA,91770,50823,General Law,630,131,131
Roseville,1479,CIT,Placer,Roseville,CA,95678,148794,Chartered,630,131,131
Ross,1480,CIT,Marin,Ross,CA,94957,2330,General Law,630,131,131
Sacramento,1481,CIT,Sacramento,Sacramento,CA,95814,518322,Chartered,630,131,131
Salinas,1482,CIT,Monterey,Salinas,CA,93901,161777,Chartered,630,131,131
San Anselmo,1483,CIT,Marin,San Anselmo,CA,94960,12772,General Law,630,131,131
San Bernardino,1484,CIT,San Bernardino,San Bernardino,CA,92401,222024,Chartered,630,131,131
San Bruno,1485,CIT,San Mateo,San Bruno,CA,94066,43169,General Law,630,131,131
San Buenaventura,1486,CIT,Ventura,San Buenaventura,CA,93002-0099,109821,Chartered,630,131,131
San Carlos,1487,CIT,San Mateo,San Carlos,CA,94070,30207,General Law,630,131,131
San Clemente,1488,CIT,Orange,San Clemente,CA,92673,63877,General Law,630,131,131
San Diego,1489,CIT,San Diego,San Diego,CA,92101,1371832,Chartered,630,131,131
San Dimas,1490,CIT,Los Angeles,San Dimas,CA,91773,34651,General Law,630,131,131
San Fernando,1491,CIT,Los Angeles,San Fernando,CA,91340-2993,23520,General Law,630,131,131
San Francisco,1492,CIT,San Francisco,San Francisco,CA,94102,849475,Chartered,630,131,131
San Gabriel,1493,CIT,Los Angeles,San Gabriel,CA,91776,39250,General Law,630,131,131
San Jacinto,1494,CIT,Riverside,San Jacinto,CA,92583,54503,General Law,630,131,131
San Joaquin,1495,CIT,Fresno,San Joaquin,CA,93660,3674,General Law,630,131,131
San Jose,1496,CIT,Santa Clara,San Jose,CA,95113-1905,991144,Chartered,630,131,131
San Juan Bautista,1497,CIT,San Benito,San Juan Bautista,CA,95045-1420,2120,General Law,630,131,131
San Juan Capistrano,1498,CIT,Orange,San Juan Capistrano,CA,92675,34907,General Law,630,131,131
San Leandro,1499,CIT,Alameda,San Leandro,CA,94577,89926,Chartered,630,131,131
San Luis Obispo,1500,CIT,San Luis Obispo,San Luis Obispo,CA,93401,47541,Chartered,630,131,131
San Marcos,1501,CIT,San Diego,San Marcos,CA,92069-2918,92958,Chartered,630,131,131
San Marino,1502,CIT,Los Angeles,San Marino,CA,91108,12334,General Law,630,131,131
San Mateo,1503,CIT,San Mateo,San Mateo,CA,94403-1388,104719,Chartered,630,131,131
San Pablo,1504,CIT,Contra Costa,San Pablo,CA,94806,31793,General Law,630,131,131
San Rafael,1505,CIT,Marin,San Rafael,CA,94901,61179,Chartered,630,131,131
San Ramon,1506,CIT,Contra Costa,San Ramon,CA,94583,84226,Chartered,630,131,131
Sand City,1507,CIT,Monterey,Sand City,CA,93955,378,Chartered,630,131,131
Sanger,1508,CIT,Fresno,Sanger,CA,93657,26558,General Law,630,131,131
Santa Ana,1509,CIT,Orange,Santa Ana,CA,92702,311340,Chartered,630,131,131
Santa Barbara,1510,CIT,Santa Barbara,Santa Barbara,CA,93102-1990,88499,Chartered,630,131,131
Santa Clara,1511,CIT,Santa Clara,Santa Clara,CA,95050,129122,Chartered,630,131,131
Santa Clarita,1512,CIT,Los Angeles,Santa Clarita,CA,91355,228084,General Law,630,131,131
Santa Cruz,1513,CIT,Santa Cruz,Santa Cruz,CA,95060,57594,Chartered,630,131,131
Santa Fe Springs,1514,CIT,Los Angeles,Santa Fe Springs,CA,90670-3679,18568,General Law,630,131,131
Santa Maria,1515,CIT,Santa Barbara,Santa Maria,CA,93454,110969,Chartered,630,131,131
Santa Monica,1516,CIT,Los Angeles,Santa Monica,CA,90401,93242,Chartered,630,131,131
Santa Paula,1517,CIT,Ventura,Santa Paula,CA,93061,30629,General Law,630,131,131
Santa Rosa,1518,CIT,Sonoma,Santa Rosa,CA,95404,177396,Chartered,630,131,131
Santee,1519,CIT,San Diego,Santee,CA,92071-1266,59146,Chartered,630,131,131
Saratoga,1520,CIT,Santa Clara,Saratoga,CA,95070,30772,General Law,630,131,131
Sausalito,1521,CIT,Marin,Sausalito,CA,94965,7159,General Law,630,131,131
Scotts Valley,1522,CIT,Santa Cruz,Scotts Valley,CA,95066,12407,General Law,630,131,131
Seal Beach,1523,CIT,Orange,Seal Beach,CA,90740-6379,25002,Chartered,630,131,131
Seaside,1524,CIT,Monterey,Seaside,CA,93955,31113,General Law,630,131,131
Sebastopol,1525,CIT,Sonoma,Sebastopol,CA,95473,7520,General Law,630,131,131
Selma,1526,CIT,Fresno,Selma,CA,93662,24702,General Law,630,131,131
Shafter,1527,CIT,Kern,Shafter,CA,93263,19950,Chartered,630,131,131
Shasta Lake,1528,CIT,Shasta,Shasta Lake,CA,96019,10318,General Law,630,131,131
Sierra Madre,1529,CIT,Los Angeles,Sierra Madre,CA,91024,10959,General Law,630,131,131
Signal Hill,1530,CIT,Los Angeles,Signal Hill,CA,90806,11702,Chartered,630,131,131
Simi Valley,1531,CIT,Ventura,Simi Valley,CA,93063-2199,126478,General Law,630,131,131
Solana Beach,1532,CIT,San Diego,Solana Beach,CA,92075,12909,General Law,630,131,131
Soledad,1533,CIT,Monterey,Soledad,CA,93960,26316,General Law,630,131,131
Solvang,1534,CIT,Santa Barbara,Solvang,CA,93463,5858,Chartered,630,131,131
Sonoma,1535,CIT,Sonoma,Sonoma,CA,95476,10755,General Law,630,131,131
Sonora,1536,CIT,Tuolumne,Sonora,CA,95370,5121,General Law,630,131,131
South El Monte,1537,CIT,Los Angeles,South El Monte,CA,91733,19532,General Law,630,131,131
South Gate,1538,CIT,Los Angeles,South Gate,CA,90280,92783,General Law,630,131,131
South Lake Tahoe,1539,CIT,El Dorado,South Lake Tahoe,CA,96150,21508,General Law,930,502,502
South Pasadena,1540,CIT,Los Angeles,South Pasadena,CA,91030,26849,General Law,630,131,131
South San Francisco,1541,CIT,San Mateo,South San Francisco,CA,94083,65090,General Law,630,131,131
St. Helena,1542,CIT,Napa,St. Helena,CA,94574,5521,General Law,630,131,131
Stanton,1543,CIT,Orange,Stanton,CA,90680,38284,General Law,630,131,131
Stockton,1544,CIT,San Joaquin,Stockton,CA,95202,323884,Chartered,630,131,131
Suisun City,1545,CIT,Solano,Suisun City,CA,94585,29266,General Law,630,131,131
Sunnyvale,1546,CIT,Santa Clara,Sunnyvale,CA,94088-3707,155326,Chartered,630,131,131
Susanville,1547,CIT,Lassen,Susanville,CA,96130,14514,General Law,630,131,131
Sutter Creek,1548,CIT,Amador,Sutter Creek,CA,95685,2640,General Law,630,131,131
Taft,1549,CIT,Kern,Taft,CA,93268,7355,General Law,630,131,131
Tehachapi,1550,CIT,Kern,Tehachapi,CA,93561-1722,12260,General Law,630,131,131
Tehama,1551,CIT,Tehama,Tehama,CA,96090,427,General Law,630,131,131
Temecula,1552,CIT,Riverside,Temecula,CA,92590,110394,General Law,630,131,131
Temple City,1553,CIT,Los Angeles,Temple City,CA,91780-2249,36497,Chartered,630,131,131
Thousand Oaks,1554,CIT,Ventura,Thousand Oaks,CA,91362-2903,125995,General Law,630,131,131
Tiburon,1555,CIT,Marin,Tiburon,CA,94920,9065,General Law,630,131,131
Torrance,1556,CIT,Los Angeles,Torrance,CA,90503,145876,Chartered,630,131,131
Tracy,1557,CIT,San Joaquin,Tracy,CA,95376,93624,General Law,630,131,131
Trinidad,1558,CIT,Humboldt,Trinidad,CA,95570,300,General Law,630,131,131
Truckee,1559,CIT,Nevada,Truckee,CA,96161-3306,17035,Chartered,630,131,131
Tulare,1560,CIT,Tulare,Tulare,CA,93274,69229,Chartered,630,131,131
Tulelake,1561,CIT,Siskiyou,Tulelake,CA,96134,899,General Law,630,131,131
Turlock,1562,CIT,Stanislaus,Turlock,CA,95380-5454,71734,General Law,630,131,131
Tustin,1563,CIT,Orange,Tustin,CA,92780,80157,General Law,630,131,131
Twentynine Palms,1564,CIT,San Bernardino,Twentynine Palms,CA,92277,27486,General Law,630,131,131
Ukiah,1565,CIT,Mendocino,Ukiah,CA,95482,16228,General Law,630,131,131
Union City,1566,CIT,Alameda,Union City,CA,94587,69301,General Law,630,131,131
Upland,1567,CIT,San Bernardino,Upland,CA,91785-0460,78891,General Law,630,131,131
Vacaville,1568,CIT,Solano,Vacaville,CA,95688,101286,General Law,630,131,131
Vallejo,1569,CIT,Solano,Vallejo,CA,94590,124410,Chartered,630,131,131
Vernon,1570,CIT,Los Angeles,Vernon,CA,90058,210,Chartered,630,131,131
Victorville,1571,CIT,San Bernardino,Victorville,CA,92392,134700,Chartered,630,131,131
Villa Park,1572,CIT,Orange,Villa Park,CA,92861-4105,5834,General Law,630,131,131
Visalia,1573,CIT,Tulare,Visalia,CA,93291,141279,Chartered,630,131,131
Vista,1574,CIT,San Diego,Vista,CA,92084,99536,Chartered,630,131,131
Walnut,1575,CIT,Los Angeles,Walnut,CA,91788-0682,28344,General Law,630,131,131
Walnut Creek,1576,CIT,Contra Costa,Walnut Creek,CA,94596,70566,General Law,630,131,131
Wasco,1577,CIT,Kern,Wasco,CA,93280-2010,25235,General Law,630,131,131
Waterford,1578,CIT,Stanislaus,Waterford,CA,95386,8944,General Law,630,131,131
Watsonville,1579,CIT,Santa Cruz,Watsonville,CA,95076,52147,Chartered,630,131,131
Weed,1580,CIT,Siskiyou,Weed,CA,96094,2826,General Law,630,131,131
West Covina,1581,CIT,Los Angeles,West Covina,CA,91790,109290,General Law,630,131,131
West Hollywood,1582,CIT,Los Angeles,West Hollywood,CA,90069-4314,35553,General Law,630,131,131
West Sacramento,1583,CIT,Yolo,West Sacramento,CA,95691,53776,General Law,630,131,131
Westlake Village,1584,CIT,Los Angeles,Westlake Village,CA,91361-4631,8121,General Law,630,131,131
Westminster,1585,CIT,Orange,Westminster,CA,92683,90812,General Law,630,131,131
Westmorland,1586,CIT,Imperial,Westmorland,CA,92281,2017,General Law,630,131,131
Wheatland,1587,CIT,Yuba,Wheatland,CA,95692,3708,General Law,630,131,131
Whittier,1588,CIT,Los Angeles,Whittier,CA,90602,87886,Chartered,630,131,131
Wildomar,9995,CIT,Riverside,Wildomar,CA,92595,36928,General Law,630,131,131
Williams,1589,CIT,Colusa,Williams,CA,95987,5530,General Law,630,131,131
Willits,1590,CIT,Mendocino,Willits,CA,95490,4959,General Law,630,131,131
Willows,1591,CIT,Glenn,Willows,CA,95988,6345,General Law,630,131,131
Windsor,1592,CIT,Sonoma,Windsor,CA,95492-0100,26134,General Law,630,131,131
Winters,1593,CIT,Yolo,Winters,CA,95694,7399,General Law,630,131,131
Woodlake,1594,CIT,Tulare,Woodlake,CA,93286,7513,Chartered,630,131,131
Woodland,1595,CIT,Yolo,Woodland,CA,95695,60999,General Law,630,131,131
Woodside,1596,CIT,San Mateo,Woodside,CA,94062,5271,General Law,630,131,131
Yorba Linda,1597,CIT,Orange,Yorba Linda,CA,92886-3364,67760,General Law,630,131,131
Yountville,1598,CIT,Napa,Yountville,CA,94599,2942,General Law,630,131,131
Yreka,1599,CIT,Siskiyou,Yreka,CA,96097-0000,7777,General Law,630,131,131
Yuba City,1600,CIT,Sutter,Yuba City,CA,95993,69614,General Law,630,131,131
Yucaipa,1601,CIT,San Bernardino,Yucaipa,CA,92399,54830,General Law,630,131,131
Yucca Valley,1602,CIT,San Bernardino,Yucca Valley,CA,92284,21846,General Law,630,131,131